Scaffold,tRNA,rRNA,rRNAp,Mito,Plastid,GC,GC-dev,GC-out,Len,MD,PD,Organelle
NC_035436.2,45,11,9,676,1966,38.03,0.84,0,208320.19,0.03,0.09,0
NC_035433.2,37,8,4,658,1329,37.8,1.08,0,149502.19,0.04,0.09,0
NC_035442.2,23,15,15,593,1696,37.9,0.98,0,181411.57,0.03,0.09,0
NC_035438.2,28,19,10,397,1649,37.75,1.13,0,148147.35,0.03,0.11,0
NC_035437.2,21,13,13,496,1788,37.88,1.0,0,178169.69,0.03,0.1,0
NC_035439.2,36,4,2,418,1281,37.72,1.16,0,149542.08,0.03,0.09,0
NC_035435.2,42,19,8,425,1771,37.54,1.33,0,176490.87,0.02,0.1,0
NW_023395585.1,0,0,0,0,3,37.61,1.27,0,28.88,0.0,1.04,0
NW_023395525.1,1,0,0,0,0,35.29,3.59,1,86.28,0.0,0.0,0
NC_035446.2,46,69,14,378,1553,37.7,1.18,0,173346.95,0.02,0.09,0
NC_009493.1,0,1,1,50,50,31.84,14.24,1,95.68,5.23,5.23,1
NT_086521.1,14,6,0,145,195,48.08,2.0,0,8919.94,0.16,0.22,0
NT_086561.1,7,4,0,0,0,46.96,0.88,0,736.93,0.0,0.0,0
NT_086559.1,2,3,0,0,50,47.9,1.82,0,2744.6,0.0,0.18,0
NT_086557.1,5,2,0,0,1,47.21,1.13,0,3264.77,0.0,0.0,0
NT_086558.3,11,4,0,69,57,47.45,1.37,0,2930.34,0.24,0.19,0
NT_086532.1,16,28,0,0,42,47.46,1.38,0,5438.5,0.0,0.08,0
NT_086543.1,9,2,0,103,54,48.18,2.11,0,5374.68,0.19,0.1,0
NT_086552.1,6,8,1,63,42,47.92,1.84,0,5055.85,0.12,0.08,0
NW_023618545.1,0,0,0,25,13,31.28,8.4,1,6.0,41.64,21.65,1
NW_023618544.1,0,1,1,25,25,13.55,9.33,1,29.54,8.46,8.46,1
NC_051295.1,1,0,0,25,50,23.16,0.29,0,617.98,0.4,0.81,0
NC_051298.1,2,4,3,25,54,23.03,0.16,0,927.92,0.27,0.58,0
NC_051296.1,2,0,0,0,26,22.91,0.03,0,778.14,0.0,0.33,0
NC_051301.1,1,0,0,26,69,22.81,0.06,0,1666.28,0.16,0.41,0
NC_051306.1,3,0,0,38,70,22.82,0.06,0,2425.35,0.16,0.29,0
NC_051304.1,2,3,0,29,51,22.79,0.09,0,1692.35,0.17,0.3,0
NC_051302.1,5,3,0,45,31,22.82,0.06,0,1745.86,0.26,0.18,0
NC_051294.1,2,0,0,0,0,23.27,0.39,0,619.34,0.0,0.0,0
NC_051303.1,7,0,0,25,25,22.78,0.1,0,1746.65,0.14,0.14,0
NW_023502999.1,0,0,0,50,43,30.88,7.77,1,81.59,6.13,5.27,0
NW_023502991.1,0,0,0,0,25,47.41,8.76,1,1316.81,0.0,0.19,0
NW_023502996.1,0,0,0,25,0,44.5,5.85,0,350.2,0.71,0.0,0
NW_023502978.1,0,0,0,0,54,43.85,5.19,0,2137.74,0.0,0.25,0
NW_023502975.1,0,0,0,0,50,37.19,1.47,0,2446.1,0.0,0.2,0
NW_023502995.1,0,1,0,0,0,48.12,9.46,1,452.08,0.0,0.0,0
NW_023502990.1,0,0,0,29,0,42.51,3.86,0,1407.47,0.21,0.0,0
NW_023502987.1,0,0,0,37,39,41.04,2.39,0,1535.11,0.24,0.25,0
NW_023502972.1,0,0,0,50,50,38.5,0.15,0,2737.31,0.18,0.18,0
NW_023502989.1,0,0,0,27,31,39.73,1.08,0,1417.47,0.19,0.22,0
NW_023502976.1,0,1,1,0,0,36.11,2.54,0,2393.27,0.0,0.0,0
NW_023502986.1,0,1,0,25,25,37.25,1.41,0,1574.49,0.16,0.16,0
NW_023502973.1,0,0,0,46,36,42.06,3.4,0,2652.78,0.17,0.14,0
NC_002081.1,0,0,0,25,25,42.35,4.23,1,16.7,14.97,14.97,1
NW_021963952.1,0,155,5,0,0,43.08,3.5,1,250.76,0.0,0.0,0
NC_044059.1,10,88,4,14,7,43.09,3.49,1,30948.9,0.0,0.0,0
NC_044069.1,232,6,1,1,6,44.5,2.08,0,23744.04,0.0,0.0,0
NC_044052.1,58,115,6,3,5,43.79,2.79,0,25300.43,0.0,0.0,0
NC_044056.1,37,125,14,2,3,45.08,1.5,0,26487.95,0.0,0.0,0
NW_021963967.1,0,124,9,0,0,46.2,0.37,0,107.06,0.0,0.0,0
NW_021964146.1,3,13,3,0,0,40.05,6.53,1,529.63,0.0,0.0,0
NW_021963989.1,0,91,7,0,0,45.46,1.12,0,73.14,0.0,0.0,0
NC_044054.1,36,32,10,12,4,44.71,1.87,0,34137.97,0.0,0.0,0
NW_021964003.1,18,68,1,0,0,44.02,2.56,0,62.49,0.0,0.0,0
NW_021963992.1,19,59,2,0,0,44.79,1.79,0,67.62,0.0,0.0,0
NC_044058.1,13,29,3,12,13,43.81,2.77,0,30713.05,0.0,0.0,0
NW_021963999.1,0,60,2,0,0,44.78,1.8,0,65.71,0.0,0.0,0
NC_044063.1,15,9,1,6,13,44.5,2.08,0,34794.35,0.0,0.0,0
NW_021964149.1,10,11,4,0,0,45.21,1.37,0,364.15,0.0,0.0,0
NW_021964097.1,0,5,0,0,0,41.98,4.6,1,33.38,0.0,0.0,0
NW_021964151.1,0,7,2,0,0,44.56,2.02,0,310.48,0.0,0.0,0
NW_021963990.1,9,0,0,0,0,47.27,0.69,0,73.23,0.0,0.0,0
NW_021964031.1,6,2,0,0,0,44.85,1.73,0,51.79,0.0,0.0,0
NW_021963996.1,7,0,0,0,0,45.78,0.8,0,66.25,0.0,0.0,0
NC_044070.1,49,107,8,16,5,43.3,3.28,1,25242.01,0.01,0.0,0
NW_021964147.1,0,3,2,0,0,44.45,2.13,0,529.32,0.0,0.0,0
NW_021964052.1,0,3,1,0,0,44.07,2.51,0,44.33,0.0,0.0,0
NW_021964049.1,1,0,0,0,0,50.69,4.11,1,44.74,0.0,0.0,0
NW_021963985.1,2,1,1,0,0,44.36,2.22,0,79.0,0.0,0.0,0
NW_021963960.1,1,0,0,0,0,43.02,3.56,1,168.89,0.0,0.0,0
NC_044057.1,110,7,0,1,39,43.69,2.89,0,27234.27,0.0,0.01,0
NC_000891.1,0,0,0,25,25,37.13,15.42,1,17.02,14.69,14.69,1
NW_024396704.1,0,0,0,25,25,45.45,7.1,0,53.46,4.68,4.68,0
NC_041741.1,5,3,1,25,0,45.65,6.89,0,52889.41,0.0,0.0,0
NC_053176.1,0,0,0,1,0,32.07,20.47,1,4600.51,0.0,0.0,0
NC_041728.1,13,12,1,206,2,44.75,7.79,1,186506.02,0.01,0.0,0
NW_024396865.1,0,3,3,0,0,49.61,2.94,0,220.73,0.0,0.0,0
NC_041730.1,17,9,3,257,57,45.63,6.91,0,141987.08,0.02,0.0,0
NC_041729.1,12,34,7,264,5,45.21,7.33,0,171719.66,0.02,0.0,0
NC_041742.1,4,1,0,0,0,47.95,4.59,0,26375.02,0.0,0.0,0
NC_041739.1,4,4,2,50,0,44.31,8.23,1,60456.05,0.01,0.0,0
NC_041734.1,20,3,0,205,20,46.01,6.53,0,83338.04,0.02,0.0,0
NC_041737.1,13,4,0,140,22,45.76,6.78,0,59444.7,0.02,0.0,0
NC_041747.1,4,2,1,25,0,44.28,8.27,1,30535.53,0.01,0.0,0
NC_041738.1,15,4,1,122,2,48.57,3.97,0,63506.03,0.02,0.0,0
NC_041733.1,9,0,0,101,25,46.6,5.94,0,51493.49,0.02,0.0,0
NC_041732.1,45,10,3,114,52,46.89,5.65,0,110293.03,0.01,0.0,0
NC_041731.1,8,4,1,162,26,44.94,7.6,0,136094.39,0.01,0.0,0
NC_041753.1,86,6,2,38,35,45.29,7.25,0,70139.32,0.01,0.0,0
NC_041748.1,4,2,0,52,0,51.35,1.2,0,24514.86,0.02,0.0,0
NC_041736.1,3,0,0,72,25,45.05,7.5,0,61861.22,0.01,0.0,0
NC_041735.1,1,4,2,83,25,45.29,7.26,0,70949.82,0.01,0.0,0
NC_037913.1,4,6,6,100,100,37.51,3.74,1,161.75,6.18,6.18,1
NC_044931.1,43,1659,203,838,593,22.52,11.26,1,18351.53,0.46,0.32,0
NC_044928.1,72,17,16,704,939,33.97,0.2,0,32066.33,0.22,0.29,0
NC_044927.1,81,1,1,477,987,34.18,0.4,0,28340.32,0.17,0.35,0
NC_044918.1,65,0,0,370,831,34.33,0.56,0,33448.12,0.11,0.25,0
NC_044924.1,79,6,5,311,808,34.41,0.63,0,31790.74,0.1,0.25,0
NC_044919.1,46,737,166,304,648,34.47,0.7,0,36343.65,0.08,0.18,0
NC_044917.1,53,0,0,301,658,34.76,0.98,0,27168.34,0.11,0.24,0
NC_044920.1,83,3,3,335,731,34.56,0.78,0,32570.75,0.1,0.22,0
NC_044922.1,98,1,1,226,698,33.82,0.04,0,28894.3,0.08,0.24,0
NC_044921.1,42,18,13,220,633,34.6,0.82,0,27639.0,0.08,0.23,0
NC_044930.1,26,1,0,223,623,34.08,0.3,0,27111.27,0.08,0.23,0
NC_044926.1,191,5,5,173,502,34.15,0.38,0,25640.62,0.07,0.2,0
NC_044925.1,59,7,3,207,593,34.31,0.53,0,29809.67,0.07,0.2,0
NC_044929.1,35,3,2,91,576,34.23,0.46,0,23651.74,0.04,0.24,0
NC_044916.1,75,0,0,118,755,33.92,0.14,0,38093.54,0.03,0.2,0
NC_044923.1,60,59,31,66,371,34.38,0.6,0,20907.54,0.03,0.18,0
NC_029346.1,0,0,0,25,25,35.33,12.09,1,17.21,14.52,14.52,1
NW_023416401.1,0,6,5,33,46,43.71,3.71,0,92776.45,0.0,0.0,0
NW_023416368.1,12,9,5,28,19,43.27,4.15,0,101075.07,0.0,0.0,0
NW_023416354.1,4,0,0,0,0,60.49,13.07,1,1408.25,0.0,0.0,0
NW_023416348.1,1,1,1,0,0,59.51,12.08,1,1964.74,0.0,0.0,0
NW_023416320.1,4,4,2,25,0,42.37,5.05,0,53200.09,0.0,0.0,0
NW_023416347.1,0,1,1,25,0,39.06,8.37,1,2066.72,0.12,0.0,0
NW_023416343.1,0,0,0,25,0,56.94,9.52,1,2205.51,0.11,0.0,0
NW_023416316.1,0,6,3,10,0,42.5,4.92,0,74216.53,0.0,0.0,0
NW_023416333.1,0,1,1,0,0,39.77,7.65,1,3555.63,0.0,0.0,0
NW_023416346.1,1,12,5,123,13,39.07,8.36,1,130331.16,0.01,0.0,0
NW_023416371.1,0,1,0,0,25,45.27,2.15,0,544.79,0.0,0.46,0
NW_023416327.1,1,9,1,0,0,48.74,1.32,0,8097.37,0.0,0.0,0
NW_023416325.1,0,0,0,1,10,48.66,1.24,0,25313.22,0.0,0.0,0
NW_023416317.1,1,1,0,8,0,44.4,3.02,0,58607.55,0.0,0.0,0
NW_023416349.1,0,2,2,0,0,53.69,6.27,0,1691.91,0.0,0.0,0
NW_023416324.1,3,19,17,278,36,41.94,5.49,0,217756.41,0.01,0.0,0
NW_023416351.1,0,0,0,5,25,64.8,17.37,1,1545.94,0.03,0.16,0
NW_023416345.1,0,1,1,0,0,48.85,1.43,0,2080.41,0.0,0.0,0
NW_023416341.1,1,0,0,0,1,52.87,5.44,0,2395.91,0.0,0.0,0
NW_023416337.1,0,1,0,1,0,50.44,3.02,0,2913.53,0.0,0.0,0
NW_023416335.1,8,20,16,126,88,40.89,6.53,0,213723.97,0.01,0.0,0
NW_023416313.1,13,19,15,197,47,41.35,6.07,0,223369.6,0.01,0.0,0
NW_023416382.1,0,1,0,0,0,52.08,4.66,0,147.79,0.0,0.0,0
NW_023416357.1,4,10,9,113,0,42.25,5.18,0,111266.76,0.01,0.0,0
NW_023416344.1,2,0,0,0,5,56.42,9.0,1,2135.43,0.0,0.02,0
NW_023416334.1,1,0,0,0,0,49.85,2.43,0,3393.48,0.0,0.0,0
NC_012575.1,10,6,6,50,50,38.84,22.2,1,72.59,6.89,6.89,1
NC_012643.1,7,2,2,25,25,34.58,26.47,1,47.43,5.27,5.27,1
NC_013038.1,1,0,0,25,178,51.16,9.88,1,2053.06,0.12,0.87,0
NC_013040.1,2,1,0,0,76,65.27,4.22,0,1759.95,0.0,0.43,0
NC_013053.1,3,1,0,50,25,65.9,4.85,0,608.93,0.82,0.41,0
NC_013045.1,0,9,0,0,50,64.87,3.82,0,1276.11,0.0,0.39,0
NC_013042.1,3,0,0,0,50,65.31,4.26,0,1518.63,0.0,0.33,0
NC_013052.1,2,0,0,25,39,66.02,4.97,0,739.14,0.34,0.53,0
NC_013048.1,3,0,0,50,28,65.85,4.8,0,1145.87,0.44,0.24,0
NC_013044.1,2,1,1,0,29,65.55,4.5,0,1394.11,0.0,0.21,0
NC_013043.1,1,0,0,0,30,65.43,4.38,0,1431.13,0.0,0.21,0
NC_013051.1,0,0,0,25,30,66.19,5.14,0,832.47,0.3,0.36,0
NC_013047.1,0,1,0,0,19,65.8,4.75,0,1160.64,0.0,0.16,0
NC_013046.1,0,0,0,0,18,65.63,4.59,0,1260.46,0.0,0.14,0
NC_013041.1,2,0,0,41,19,64.93,3.88,0,1584.43,0.26,0.12,0
NC_013039.1,1,1,0,29,33,65.52,4.47,0,1914.33,0.15,0.17,0
NC_028215.1,0,0,0,25,25,22.26,18.86,1,15.44,16.19,16.19,1
NW_024412236.1,0,132,25,0,0,48.06,6.94,1,799.59,0.0,0.0,0
NW_024412223.1,0,64,17,0,0,51.13,10.0,1,393.43,0.0,0.0,0
NW_024412227.1,0,71,18,0,0,49.96,8.84,1,386.41,0.0,0.0,0
NW_024412246.1,0,60,16,0,0,49.8,8.67,1,336.34,0.0,0.0,0
NW_024412247.1,0,54,11,0,0,49.86,8.74,1,280.29,0.0,0.0,0
NW_024412211.1,0,50,16,0,0,49.29,8.16,1,274.17,0.0,0.0,0
NW_024412225.1,0,36,6,0,0,50.99,9.87,1,194.88,0.0,0.0,0
NW_024412219.1,0,43,7,0,0,48.66,7.54,1,255.59,0.0,0.0,0
NW_024412209.1,0,32,7,0,0,49.65,8.53,1,140.3,0.0,0.0,0
NW_024412212.1,0,30,7,0,0,50.06,8.93,1,140.83,0.0,0.0,0
NW_024412244.1,0,25,8,0,0,50.11,8.98,1,107.69,0.0,0.0,0
NW_024412220.1,0,18,10,0,0,51.47,10.34,1,75.43,0.0,0.0,0
NW_024412228.1,0,29,8,0,0,48.84,7.71,1,154.84,0.0,0.0,0
NW_024412214.1,0,23,5,0,0,49.32,8.19,1,126.92,0.0,0.0,0
NW_024412224.1,0,20,5,0,0,49.68,8.56,1,127.27,0.0,0.0,0
NW_024412216.1,0,19,4,0,0,49.95,8.82,1,99.0,0.0,0.0,0
NW_024412226.1,0,15,4,0,0,50.73,9.61,1,90.2,0.0,0.0,0
NW_024412242.1,0,18,6,0,0,48.4,7.27,1,93.5,0.0,0.0,0
NW_024412221.1,0,15,3,0,0,49.98,8.85,1,88.4,0.0,0.0,0
NW_024412222.1,0,16,4,0,0,48.82,7.69,1,83.76,0.0,0.0,0
NW_024412213.1,0,19,4,0,0,47.67,6.54,1,122.73,0.0,0.0,0
NW_024412218.1,0,16,4,0,0,48.45,7.32,1,83.08,0.0,0.0,0
NW_024412215.1,0,12,3,0,0,50.56,9.43,1,85.82,0.0,0.0,0
NW_024412217.1,0,13,3,0,0,49.35,8.23,1,63.99,0.0,0.0,0
NW_024412243.1,0,14,2,0,0,48.58,7.46,1,92.75,0.0,0.0,0
NW_024412210.1,0,15,3,0,0,47.19,6.07,1,100.4,0.0,0.0,0
NW_024412229.1,0,19,12,0,0,44.49,3.36,0,406.89,0.0,0.0,0
NW_024412238.1,0,12,6,0,0,44.91,3.78,0,89.69,0.0,0.0,0
NC_053521.1,208,256,0,365,373,44.83,3.7,0,114808.23,0.03,0.03,0
NC_035232.1,0,0,0,25,25,28.12,13.66,1,15.7,15.92,15.92,1
NC_051849.1,44,3,3,967,343,42.21,0.43,0,222122.7,0.04,0.02,0
NC_006531.1,0,0,0,25,25,41.17,3.41,1,16.68,14.98,14.98,1
NC_049201.1,98,44,11,3,15,42.75,1.83,0,88055.84,0.0,0.0,0
NC_049208.1,13,28,11,26,19,43.41,1.17,0,56164.77,0.0,0.0,0
NC_049204.1,21,22,9,2,15,42.78,1.79,0,68139.6,0.0,0.0,0
NC_049211.1,34,17,6,2,7,43.92,0.65,0,44521.22,0.0,0.0,0
NC_049212.1,11,16,5,6,15,43.86,0.71,0,43524.56,0.0,0.0,0
NC_049219.1,1,16,3,4,8,46.63,2.06,0,18431.71,0.0,0.0,0
NC_049216.1,17,7,4,0,2,44.57,0.0,0,37151.76,0.0,0.0,0
NC_049209.1,126,24,11,27,38,43.33,1.24,0,55293.05,0.0,0.01,0
NC_049218.1,1,9,3,8,56,44.84,0.26,0,31569.4,0.0,0.02,0
NC_049215.1,8,9,0,63,14,43.73,0.84,0,37217.33,0.02,0.0,0
NC_049207.1,31,32,9,5,52,43.29,1.28,0,57205.43,0.0,0.01,0
NC_049206.1,35,36,23,24,67,43.34,1.23,0,62028.45,0.0,0.01,0
NC_049202.1,89,34,13,4,50,43.08,1.49,0,76644.42,0.0,0.01,0
NC_009905.1,0,1,1,50,50,26.35,20.35,1,73.24,6.83,6.83,1
NW_023503169.1,0,0,0,25,25,26.03,20.67,1,54.08,4.62,4.62,0
NW_023503171.1,0,1,1,25,0,28.71,18.0,1,9.09,27.51,0.0,0
NW_023503157.1,9,1,0,100,149,50.95,4.25,0,4530.69,0.22,0.33,0
NW_023503156.1,5,0,0,71,67,50.93,4.23,0,4859.87,0.15,0.14,0
NC_028212.1,0,0,0,25,25,22.41,20.12,1,15.37,16.27,16.27,1
NW_024412081.1,0,519,115,0,0,50.67,8.15,1,2516.79,0.0,0.0,0
NW_024412096.1,0,130,35,0,0,51.71,9.19,1,643.08,0.0,0.0,0
NW_024412079.1,0,156,20,0,0,50.0,7.48,1,828.57,0.0,0.0,0
NW_024412108.1,0,115,26,0,0,50.5,7.98,1,501.81,0.0,0.0,0
NW_024412105.1,0,96,28,0,0,51.6,9.08,1,443.14,0.0,0.0,0
NW_024412104.1,0,109,20,0,0,50.87,8.35,1,508.71,0.0,0.0,0
NW_024412082.1,0,85,15,0,0,50.82,8.3,1,397.71,0.0,0.0,0
NW_024412099.1,0,67,21,0,0,51.94,9.42,1,336.4,0.0,0.0,0
NW_024412083.1,0,79,19,0,0,50.93,8.41,1,365.58,0.0,0.0,0
NW_024412084.1,0,54,18,0,0,51.98,9.46,1,256.45,0.0,0.0,0
NW_024412092.1,0,59,16,0,0,50.25,7.72,1,279.43,0.0,0.0,0
NW_024412097.1,0,46,10,0,0,50.69,8.17,1,206.17,0.0,0.0,0
NW_024412107.1,0,48,7,0,0,50.61,8.08,1,226.81,0.0,0.0,0
NW_024412106.1,0,49,8,0,0,50.14,7.62,1,228.75,0.0,0.0,0
NW_024412111.1,0,43,9,0,0,50.71,8.19,1,205.46,0.0,0.0,0
NW_024412090.1,0,44,13,0,0,49.76,7.24,1,214.43,0.0,0.0,0
NW_024412094.1,0,38,11,0,0,50.7,8.18,1,195.21,0.0,0.0,0
NW_024412088.1,0,31,11,0,0,51.33,8.81,1,133.08,0.0,0.0,0
NW_024412102.1,0,29,12,0,0,51.39,8.86,1,133.18,0.0,0.0,0
NW_024412098.1,0,39,6,0,0,50.28,7.75,1,193.54,0.0,0.0,0
NW_024412110.1,0,30,8,0,0,50.95,8.42,1,141.91,0.0,0.0,0
NW_024412087.1,0,34,3,0,0,50.83,8.31,1,168.34,0.0,0.0,0
NW_024412091.1,0,27,7,0,0,51.54,9.02,1,123.64,0.0,0.0,0
NW_024412109.1,0,33,7,0,0,50.11,7.59,1,145.44,0.0,0.0,0
NW_024412089.1,0,27,8,0,0,50.9,8.38,1,128.13,0.0,0.0,0
NW_024412127.1,0,28,8,0,0,50.42,7.89,1,118.02,0.0,0.0,0
NW_024412093.1,0,28,7,0,0,50.61,8.08,1,132.91,0.0,0.0,0
NW_024412112.1,0,24,4,0,0,50.5,7.98,1,116.12,0.0,0.0,0
NW_024412086.1,0,21,5,0,0,50.58,8.05,1,97.47,0.0,0.0,0
NW_024412100.1,0,17,3,0,0,52.33,9.81,1,95.49,0.0,0.0,0
NW_024412101.1,0,21,3,0,0,50.67,8.15,1,99.46,0.0,0.0,0
NW_024412095.1,0,11,4,0,0,51.69,9.16,1,61.85,0.0,0.0,0
NW_024412080.1,0,36,20,0,0,42.6,0.08,0,403.15,0.0,0.0,0
NW_024412085.1,0,26,6,0,0,48.26,5.74,0,159.25,0.0,0.0,0
NW_024412103.1,0,0,0,10,7,40.47,2.06,0,87.44,1.14,0.8,0
NC_053517.1,202,339,0,374,374,44.85,2.32,0,111988.35,0.03,0.03,0
NC_045530.1,0,0,0,25,25,21.76,20.07,1,15.88,15.74,15.74,1
NW_023269837.1,0,5,2,0,0,33.34,8.5,1,22.2,0.0,0.0,0
NW_023269845.1,0,5,3,0,0,41.6,0.24,0,19.58,0.0,0.0,0
NW_023269844.1,0,5,3,0,0,40.0,1.84,0,19.89,0.0,0.0,0
NW_023269840.1,0,1,0,0,0,33.8,8.04,1,5.91,0.0,0.0,0
NW_023269826.1,0,3,2,0,0,39.7,2.14,0,23.42,0.0,0.0,0
NC_048530.1,21,22,14,171,299,46.02,4.18,0,24182.87,0.07,0.12,0
NC_048535.1,0,0,0,26,30,38.59,3.25,0,1505.89,0.17,0.2,0
NC_007897.1,0,0,0,25,25,45.94,3.86,0,16.85,14.83,14.83,1
NC_044213.2,21,55,1,42,29,39.22,10.58,1,151653.09,0.0,0.0,0
NC_044214.2,9,0,0,46,52,39.72,10.08,1,112598.99,0.0,0.0,0
NC_044215.2,0,35,0,12,26,39.48,10.32,1,70982.42,0.0,0.0,0
NW_024545459.1,0,26,7,0,0,65.28,15.48,1,173.97,0.0,0.0,0
NC_044211.2,12,1,1,30,5,39.42,10.38,1,114020.02,0.0,0.0,0
NC_044221.2,11,52,0,0,0,43.33,6.47,1,25529.5,0.0,0.0,0
NC_044220.2,3,0,0,4,0,42.22,7.58,1,31251.07,0.0,0.0,0
NC_044212.2,1,0,0,4,0,39.96,9.84,1,71569.01,0.0,0.0,0
NC_044241.2,0,0,0,139,29,38.89,10.91,1,75396.18,0.02,0.0,0
NC_044217.2,5,0,0,95,2,40.94,8.86,1,61663.53,0.02,0.0,0
NC_044219.2,12,0,0,73,0,41.27,8.53,1,37979.24,0.02,0.0,0
NC_044216.2,2,0,0,0,0,44.15,5.65,1,19491.7,0.0,0.0,0
NC_054766.1,0,0,0,25,25,55.39,5.59,1,1299.32,0.19,0.19,0
NC_044225.2,0,0,0,7,2,45.26,4.54,0,18052.1,0.0,0.0,0
NW_024545413.1,0,1,0,0,0,56.82,7.02,1,24.02,0.0,0.0,0
NW_024545456.1,0,3,3,0,0,51.09,1.29,0,220.45,0.0,0.0,0
NC_045028.1,0,1,0,250,53,43.72,6.08,1,20846.4,0.12,0.03,0
NC_044242.2,1,0,0,0,14,58.07,8.27,1,2636.87,0.0,0.05,0
NC_054769.1,5,0,0,0,0,53.18,3.38,0,1798.73,0.0,0.0,0
NC_044224.2,1,0,0,0,0,43.96,5.84,1,20384.69,0.0,0.0,0
NW_024545422.1,0,2,2,0,0,52.52,2.72,0,22.83,0.0,0.0,0
NW_024545375.1,0,2,2,0,0,51.89,2.09,0,31.29,0.0,0.0,0
NC_044226.2,4,0,0,0,0,45.64,4.16,0,16340.49,0.0,0.0,0
NC_044218.2,2,0,0,0,50,41.53,8.27,1,35592.82,0.0,0.01,0
NC_054764.1,1,0,0,0,25,54.27,4.47,0,2089.24,0.0,0.12,0
NC_044238.2,3,0,0,0,0,52.36,2.56,0,6804.94,0.0,0.0,0
NW_024545460.1,0,1,1,0,0,52.51,2.72,0,170.7,0.0,0.0,0
NW_024545424.1,0,1,1,0,0,51.35,1.56,0,22.36,0.0,0.0,0
NW_024545417.1,0,1,1,0,0,50.15,0.35,0,23.94,0.0,0.0,0
NC_044232.2,2,0,0,0,0,46.76,3.04,0,14749.49,0.0,0.0,0
NC_044223.2,12,0,0,25,0,43.07,6.73,1,21108.24,0.01,0.0,0

NW_024545400.1,0,1,0,0,0,54.54,4.74,0,26.93,0.0,0.0,0
NC_044243.2,0,0,0,11,25,56.01,6.21,1,2225.42,0.05,0.11,0
NC_044240.2,4,2,2,0,25,51.58,1.78,0,5866.31,0.0,0.04,0
NC_044239.2,12,0,0,25,2,52.5,2.7,0,5378.93,0.05,0.0,0
NC_044234.2,1,0,0,0,0,51.83,2.03,0,4608.04,0.0,0.0,0
NC_013183.1,0,0,0,25,25,44.22,0.95,0,17.58,14.22,14.22,1
NW_023337102.1,0,2767,35,0,0,44.66,1.39,0,663.03,0.0,0.0,0
NW_023337085.1,0,2641,46,0,0,43.79,0.52,0,734.68,0.0,0.0,0
NW_023337056.1,0,322,12,0,0,45.43,2.16,0,80.8,0.0,0.0,0
NW_023337040.1,0,255,3,0,0,44.31,1.04,0,60.62,0.0,0.0,0
NC_049697.1,10,93,3,2,3,43.45,0.18,0,25992.65,0.0,0.0,0
NW_023337069.1,4,83,0,0,0,43.04,0.23,0,117.52,0.0,0.0,0
NC_049707.1,66,1,0,4,3,43.57,0.3,0,20466.35,0.0,0.0,0
NW_023337049.1,0,62,2,0,0,45.9,2.63,0,21.57,0.0,0.0,0
NC_049690.1,22,25,1,3,0,43.34,0.07,0,25665.79,0.0,0.0,0
NC_049704.1,32,0,0,4,4,43.6,0.33,0,23140.76,0.0,0.0,0
NC_049708.1,26,0,0,0,0,43.98,0.71,0,15987.37,0.0,0.0,0
NC_049695.1,22,1,0,1,2,43.21,0.07,0,25851.79,0.0,0.0,0
NW_023337067.1,18,0,0,0,0,42.72,0.55,0,52.61,0.0,0.0,0
NW_023337087.1,11,0,0,0,0,42.32,0.95,0,48.05,0.0,0.0,0
NW_023337086.1,9,0,0,1,0,42.18,1.1,0,49.99,0.2,0.0,0
NC_049705.1,12,0,0,10,57,43.35,0.08,0,21926.84,0.0,0.03,0
NC_049700.1,93,1,1,2,46,43.16,0.11,0,25949.66,0.0,0.02,0
NC_049691.1,73,1,1,51,7,43.2,0.07,0,31577.46,0.02,0.0,0
NW_023337074.1,0,0,0,12,2,41.49,1.78,0,148.97,0.81,0.13,0
NC_049702.1,38,0,0,6,50,43.36,0.09,0,23583.83,0.0,0.02,0
NC_049692.1,60,5630,71,56,20,42.9,0.37,0,30917.08,0.02,0.01,0
NC_049689.1,69,1,1,6,29,44.08,0.8,0,25180.94,0.0,0.01,0
NC_004693.1,0,0,0,25,25,47.17,4.43,1,16.23,15.4,15.4,1
NC_044495.1,105,3,1,6,17,41.3,1.44,0,63121.9,0.0,0.0,0
NC_044506.1,85,2,1,11,11,42.03,0.72,0,24698.57,0.0,0.0,0
NC_044508.1,12,1,0,9,3,41.78,0.96,0,21941.85,0.0,0.0,0
NC_044505.1,156,2,1,8,13,35.74,7.0,1,25523.58,0.0,0.01,0
NC_044510.1,70,1,1,35,5,42.51,0.23,0,18553.44,0.02,0.0,0
NC_044509.1,31,51,19,12,7,42.39,0.35,0,20460.69,0.01,0.0,0
NC_044503.1,104,15,0,19,41,41.62,1.12,0,43790.41,0.0,0.01,0
NC_044498.1,35,1,0,24,66,41.4,1.34,0,53909.38,0.0,0.01,0
NW_001884617.1,0,0,0,25,0,22.92,16.27,1,8.33,30.02,0.0,0
NW_001884654.1,0,0,0,25,0,31.51,7.68,0,2.14,116.71,0.0,0
NW_001884640.1,0,0,0,25,0,30.99,8.2,0,2.69,92.8,0.0,0
NC_009746.1,0,1,1,25,25,29.44,9.75,0,49.76,5.02,5.02,1
NW_001884567.1,0,0,0,0,50,51.05,11.86,1,830.52,0.0,0.6,0
NW_001884582.1,0,1,0,0,25,51.06,11.87,1,371.59,0.0,0.67,0
